x	f	g	h	ge	t
3.0473047304730474	1.8271807904446962	0.9670294400471806	0.06627751927881811	1.0182184278706097	-0.03259626201103973
3.0483048304830485	1.8281479165973586	0.9670957241948742	0.06616721771382919	1.0181858283486465	-0.03255057579181541
3.0493049304930495	1.829115109040798	0.9671618980299715	0.06605704916584446	1.0181532745174715	-0.0325049254942475
3.05030503050305	1.83008236766469	0.967227961685503	0.06594701357624065	1.0181207663411596	-0.032459311154918076
3.051305130513051	1.831049692358845	0.9672939152944401	0.06583711088621073	1.018088303783749	-0.03241373281021354
3.0523052305230522	1.832017083013205	0.9673597589896958	0.06572734103676464	1.0180558868092413	-0.03236819049632508
3.0533053305330533	1.8329845395178452	0.967425492904124	0.06561770396872958	1.0180235153816022	-0.032322684249248904
3.0543054305430544	1.8339520617629739	0.9674911171705194	0.06550819962275051	1.0179911894647613	-0.032277214104786574
3.0553055305530554	1.834919649638932	0.9675566319216172	0.0653988279392906	1.0179589090226122	-0.032231780098545354
3.0563056305630565	1.8358873030361933	0.9676220372900933	0.06528958885863172	1.0179266740190134	-0.03218638226593853
3.057305730573057	1.8368550218453639	0.9676873334085638	0.06518048232087495	1.0178944844177873	-0.03214102064218574
3.058305830583058	1.8378228059571837	0.9677525204095848	0.06507150826594083	1.0178623401827216	-0.032095695262313234
3.059305930593059	1.838790655262524	0.9678175984256524	0.0649626666335701	1.0178302412775688	-0.032050406161154316
3.0603060306030603	1.8397585696523886	0.9678825675892023	0.06485395736332403	1.0177981876660465	-0.032005153373349575
3.0613061306130613	1.8407265490179143	0.96794742803261	0.06474538039458486	1.0177661793118378	-0.03195993693334725
3.0623062306230624	1.8416945932503703	0.9680121798881902	0.06463693566655629	1.0177342161785912	-0.031914756875403544
3.0633063306330635	1.8426627022411577	0.9680768232881968	0.06452862311826396	1.0177022982299209	-0.03186961323358296
3.0643064306430645	1.84363087588181	0.9681413583648227	0.0644204426885559	1.0176704254294073	-0.0318245060417586
3.065306530653065	1.8445991140639928	0.9682057852501998	0.06431239431610301	1.0176385977405966	-0.03177943533361255
3.066306630663066	1.8455674166795046	0.9682701040763986	0.06420447793939937	1.0176068151270017	-0.03173440114263609
3.0673067306730672	1.8465357836202752	0.9683343149754279	0.06409669349676296	1.0175750775521015	-0.03168940350213016
3.0683068306830683	1.8475042147783665	0.968398418079235	0.06398904092633595	1.017543384979342	-0.03164444244520559
3.0693069306930694	1.8484727100459726	0.9684624135197054	0.06388152016608517	1.017511737372136	-0.03159951800478346
